# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=Dijet selection, soft-dropped
RatioPlotReference=/ATLAS_2019_I1724098/d24-x01-y01
RatioPlot=1
LogY=0
LegendOnly=/ATLAS_2019_I1724098/d24-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesCalo_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01 //Users/jenniferroloff/Work/tuningStudies/JSSSoftDrop_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01 //Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01 //Users/jenniferroloff/Work/tuningStudies/Lund_Plane_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01
XLabel=$C_2$
LegendAlign=r
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d} C_2}$
DrawOnly=/ATLAS_2019_I1724098/d24-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesCalo_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01 //Users/jenniferroloff/Work/tuningStudies/JSSSoftDrop_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01 //Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01 //Users/jenniferroloff/Work/tuningStudies/Lund_Plane_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01
Legend=1
LeftMargin=1.8
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d24-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d24-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e-01	7.400000e-01	1.219466e-01	3.560581e-03	3.560581e-03
7.400000e-01	1.000000e+00	1.050809e-02	4.099598e-04	4.099598e-04
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/JSSSoftDrop_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01
LineColor=green
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/JSSSoftDrop_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01
ScaledBy=4.27900846815775887e-06
Title=JSS Obs
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.400000e-01	2.132352e+00	8.073037e-03	8.073037e-03
1.400000e-01	2.200000e-01	2.763758e+00	1.215840e-02	1.215840e-02
2.200000e-01	2.800000e-01	2.169457e+00	1.243860e-02	1.243860e-02
2.800000e-01	3.400000e-01	1.729077e+00	1.110460e-02	1.110460e-02
3.400000e-01	3.800000e-01	1.376985e+00	1.213686e-02	1.213686e-02
3.800000e-01	4.200000e-01	1.122491e+00	1.095804e-02	1.095804e-02
4.200000e-01	4.600000e-01	9.445910e-01	1.005225e-02	1.005225e-02
4.600000e-01	5.000000e-01	7.328873e-01	8.854420e-03	8.854420e-03
5.000000e-01	5.400000e-01	5.838707e-01	7.903145e-03	7.903145e-03
5.400000e-01	5.800000e-01	4.607423e-01	7.020541e-03	7.020541e-03
5.800000e-01	6.200000e-01	3.522692e-01	6.138737e-03	6.138737e-03
6.200000e-01	6.600000e-01	2.527825e-01	5.200140e-03	5.200140e-03
6.600000e-01	7.000000e-01	1.679511e-01	4.238703e-03	4.238703e-03
7.000000e-01	7.400000e-01	1.051566e-01	3.353975e-03	3.353975e-03
7.400000e-01	1.000000e+00	9.496108e-03	3.953281e-04	3.953281e-04
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01
LineColor=orange
LineStyle=solid
